All measured points in VidSync project Porter_BACI_RoachRun_5July2018_Part1,,,,,,,,,,
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_1 5 (Omykiss),Length 58,0:00:07:59.42754/60000,479.712555,-18.105587,37.921734,6.623808,0.031825,1.377996,106.67308,
Subsample_1 6 (Omykiss),Movement 60,0:00:08:00.175/60000,480.00293,-63.835663,24.399904,-8.434481,0.036185,0.792488,118.133896,
Subsample_1 6 (Omykiss),Length 61,0:00:07:45.52925/60000,465.88208,-51.719517,15.849849,-9.915397,0.058683,0.397592,105.435516,
Subsample_1 6 (Omykiss),Length 62,0:00:07:47.1994/60000,467.033234,-41.39624,10.723799,-9.797435,0.09036,0.887601,96.192795,
Subsample_1 6 (Omykiss),Length 62,0:00:07:47.1994/60000,467.033234,-38.286045,13.947558,-8.4031,0.134351,2.018163,96.718216,
Subsample_1 6 (Omykiss),Length 61,0:00:07:45.52925/60000,465.88208,-46.747414,16.400259,-10.319423,0.091074,1.797693,103.424088,
Subsample_2 7 (Okisutch),Search_Forage 63,0:00:09:00.175/60000,540.00293,21.401402,-10.423364,17.486685,0.068053,0.635934,56.304348,
Subsample_2 7 (Okisutch),Length 64,0:00:09:00.5373/60000,540.089539,24.59495,-11.414023,17.727272,0.091548,0.506434,54.557541,
Subsample_2 7 (Okisutch),Length 64,0:00:09:00.5373/60000,540.089539,20.033857,-9.978332,17.276608,0.058619,0.006388,57.047256,
Subsample_2 7 (Okisutch),Search_Forage 65,0:00:09:03.175/60000,543.00293,37.88063,15.656492,9.56713,0.102795,0.428189,81.594574,
Subsample_2 7 (Okisutch),Drift_Forage 66,0:00:09:06.175/60000,546.00293,36.284843,14.543419,8.358958,0.103433,0.526484,80.826111,
Subsample_2 7 (Okisutch),Length 68,0:00:09:06.4732/60000,546.078857,36.15192,15.400952,8.196194,0.102862,0.373575,81.695175,
Subsample_2 7 (Okisutch),Length 67,0:00:09:03.19567/60000,543.326111,38.872505,16.013992,10.12626,0.103403,0.494001,81.825012,
Subsample_2 7 (Okisutch),Length 68,0:00:09:06.4732/60000,546.078857,40.618122,13.89376,7.710583,0.129441,0.144773,80.509346,
Subsample_2 7 (Okisutch),Length 67,0:00:09:03.19567/60000,543.326111,43.71302,16.200335,9.053449,0.130822,0.011803,82.583336,
Subsample_2 7 (Okisutch),Drift_Forage 69,0:00:09:09.175/60000,549.00293,34.814392,-0.567231,8.702123,0.13857,0.277673,66.331009,
Subsample_2 7 (Okisutch),Drift_Forage 70,0:00:09:12.175/60000,552.00293,61.609203,10.135298,10.778538,0.184943,0.77218,80.08947,
Subsample_2 7 (Okisutch),Drift_Forage 72,0:00:09:18.175/60000,558.00293,68.193253,13.525392,11.188399,0.186812,0.140751,85.354454,
Subsample_2 7 (Okisutch),Drift_Forage 71,0:00:09:15.175/60000,555.00293,78.005722,13.281628,5.54321,0.207916,0.520266,90.692497,
Subsample_2 7 (Okisutch),Drift_Forage 73,0:00:09:21.175/60000,561.00293,74.586723,8.573288,6.355707,0.195057,0.270864,84.928291,
Subsample_2 7 (Okisutch),Drift_Forage 74,0:00:09:24.175/60000,564.00293,80.415871,17.339235,8.475282,0.203615,0.041375,94.50312,
